Time,GyroX,GyroY,GyroZ,AcceX,AcceY,AcceZ,MagnX,MagnY,MagnZ,Baro,Result,TrueResult,TimeB,BaroB
05:35.2,0.000883881,0.001550111,-0.000366693,-0.005945778,-0.009277554,-0.00256299,-0.00700145,-0.044130466,-0.167516975,1008.65,1,1,05:35.3,1009.19
05:36.2,4.583078035,-3.433295672,6.719800519,24.75895994,21.47402042,-7.68962062,-25.13514612,-1.079605299,32.75918439,1008.61,1,1,05:36.3,1009.24
05:37.2,-92.41563902,-69.78808211,165.5440929,415.7632449,428.6548491,228.320818,102.2107453,223.7543266,410.2350506,1008.66,1,1,05:36.3,1009.24
05:38.3,-77.01219863,-114.8681847,136.4259967,438.4944707,460.680218,224.7167561,77.12980995,218.8479948,434.0881469,1008.65,1,1,05:37.3,1009.2
05:39.1,-73.43066624,-117.44847,133.6641894,437.5795911,460.7015913,224.7318228,77.13310595,218.8440047,434.0848398,1008.65,1,1,05:38.3,1009.19
05:39.8,-73.4276288,-117.4482128,133.6604907,437.5751953,460.7002808,224.7323853,77.12944385,218.832047,434.0684829,1008.64,1,1,05:39.7,1009.22
05:40.9,-73.4275714,-117.4465715,133.6611559,437.5745459,460.700131,224.7333059,77.12946522,218.8292733,434.0637983,1008.66,1,1,05:39.8,1009.22
05:41.8,-73.42798249,-117.4454656,133.6619967,437.5722185,460.6941523,224.7278334,77.13064338,218.8392227,434.077513,1008.65,1,1,05:40.3,1009.22
05:42.8,-73.42948823,-117.44796,133.6632449,437.5789867,460.7029993,224.7337009,77.13172513,218.8377434,434.0764949,1008.65,1,1,05:41.3,1009.24
05:43.8,-73.42849037,-117.4473205,133.6624247,437.5762134,460.6991304,224.7305924,77.13074713,218.8385617,434.0775256,1008.68,1,1,05:42.3,1009.23
05:44.9,-73.42909209,-117.4474828,133.6631834,437.5767668,460.6981435,224.7289621,77.13174012,218.8445043,434.0864412,1008.7,1,1,05:43.3,1009.22
05:45.8,-73.43037173,-117.4507919,133.6641862,437.5861574,460.712188,224.7389805,77.1324875,218.8387089,434.0808545,1008.7,1,1,05:43.4,1009.22
05:46.9,-73.43061206,-117.452404,133.6646132,437.5918698,460.7216252,224.7462763,77.13309989,218.8337689,434.0754661,1008.72,1,1,05:44.3,1009.25
05:47.9,-73.43021098,-117.4522381,133.6646787,437.5923214,460.7222379,224.7462997,77.13254634,218.8336407,434.0762505,1008.71,1,1,05:45.3,1009.26
05:48.8,-73.43256264,-117.4537904,133.6676949,437.5994653,460.7289973,224.7499616,77.13599805,218.84145,434.0879377,1008.71,1,1,05:45.4,1009.26
05:49.8,-73.43199503,-117.4541831,133.666796,437.5972696,460.7249025,224.7458925,77.13534082,218.8452611,434.0934095,1008.71,1,1,05:46.3,1009.29
05:50.9,-73.43214954,-117.4544065,133.6671665,437.5979657,460.7251696,224.7455471,77.13501778,218.8455139,434.0938917,1008.7,1,1,05:46.4,1009.29
05:51.8,-73.43321768,-117.454399,133.6686492,437.5987175,460.7232502,224.7430736,77.13720309,218.8549089,434.1066275,1008.7,1,1,05:47.3,1009.24
05:52.8,-73.43252835,-117.4547809,133.6669324,437.5953748,460.7190867,224.7400299,77.13640879,218.855441,434.1069471,1008.7,1,1,05:48.3,1009.28
05:53.9,-73.43098559,-117.4545724,133.6651721,437.5946661,460.7222236,224.7438258,77.13282293,218.8402533,434.0859277,1008.69,1,1,05:49.3,1009.27
05:54.8,-73.43235311,-117.4528738,133.6676379,437.5944903,460.7187628,224.7410397,77.13660064,218.8526686,434.1021321,1008.72,1,1,05:49.4,1009.27
05:55.8,-73.43140627,-117.4534765,133.6659049,437.592175,460.7161679,224.7384182,77.13407905,218.8501455,434.0995091,1008.72,-1,1,05:50.3,1009.27
05:56.8,-73.4678395,-117.4710339,133.6810874,437.6165889,460.7165867,224.7199903,77.1355448,218.8814836,434.1153557,1008.68,-1,1,05:51.3,1009.33
05:57.8,-73.52260576,-117.3521032,133.8463809,437.4831012,460.0968633,223.8595924,76.51548368,218.7477115,434.280382,1008.67,-1,1,05:52.3,1009.31
05:58.9,-73.56382094,-117.383704,133.8642064,437.5056826,460.0750119,223.8146217,76.50498027,218.7849401,434.321103,1008.68,-1,1,05:53.3,1009.26
05:59.8,-73.56125408,-117.3847994,133.8617647,437.5024591,460.0721406,223.812718,76.50247829,218.7794588,434.313107,1008.65,-1,1,05:53.4,1009.26
06:00.8,-73.56030633,-117.3847536,133.8605274,437.5035326,460.0785052,223.8200404,76.5007152,218.7634645,434.2901391,1008.62,-1,1,05:54.3,1009.26
06:01.8,-73.5586007,-117.3804159,133.8592425,437.4930347,460.0644549,223.811234,76.49997296,218.7661184,434.2907845,1008.66,-1,1,05:55.3,1009.23
06:02.8,-73.55713505,-117.3779172,133.8571575,437.4834922,460.0514596,223.8019616,76.49774648,218.7682487,434.2926208,1008.68,-1,1,05:55.4,1009.23
06:03.8,-73.55885001,-117.3810405,133.8587629,437.4951811,460.0703045,223.8166579,76.49831343,218.755677,434.2774685,1008.7,-1,1,05:56.3,1009.23
06:04.5,-73.55915423,-117.382147,133.8596453,437.5008972,460.079217,223.8233767,76.4995173,218.7535818,434.2765258,1008.69,-1,1,05:57.3,1009.23
06:05.8,-73.56017623,-117.3838301,133.86081,437.5070724,460.0879573,223.8296954,76.50087789,218.7518995,434.2753247,1008.68,-1,1,05:58.3,1009.21
06:06.9,-73.55926057,-117.3831914,133.8596073,437.5035732,460.0836407,223.8268426,76.50037737,218.7525665,434.2756291,1008.71,-1,1,05:58.4,1009.21
06:07.8,-73.55792503,-117.3824524,133.8579186,437.5001038,460.0808042,223.8253401,76.49793577,218.7469923,434.2680738,1008.66,-1,1,05:59.3,1009.19
06:08.8,-73.56019247,-117.3838951,133.8604601,437.5083355,460.0923722,223.8348678,76.50136123,218.744905,434.2647942,1008.69,-1,1,05:59.4,1009.19
06:09.8,-73.55585738,-117.3801688,133.8554651,437.4924993,460.0728873,223.8212079,76.49592609,218.7423634,434.2599205,1008.68,-1,1,06:00.3,1009.14
06:10.9,-73.55843653,-117.3816211,133.8579679,437.5004391,460.0842241,223.8307028,76.49921418,218.7399966,434.256613,1008.69,-1,1,06:00.4,1009.14
06:11.8,-73.55560251,-117.381026,133.8543792,437.4960603,460.0834457,223.8319056,76.49478792,218.7250397,434.2361148,1008.69,-1,1,06:01.3,1009.19
06:12.8,-73.55644407,-117.3798708,133.8565099,437.4989853,460.0871231,223.8350658,76.49599525,218.724567,434.2354479,1008.71,-1,1,06:02.4,1009.2
06:13.8,-73.55803039,-117.3799799,133.8588491,437.5007001,460.0846489,223.8309536,76.49886398,218.7398909,434.2575233,1008.68,-1,1,06:03.3,1009.24
06:14.8,-73.5599461,-117.3830115,133.8608297,437.5087223,460.0934192,223.8356134,76.50023675,218.7418818,434.2613716,1008.71,-1,1,06:04.3,1009.22
